Year or Period	Unigram	#Q	Subject	#P	Predicate	Object	Organization	Just Date	Start Time	End Time	Time Point
[1978, 1994]	дверь	Q25395616	Дверь	P577	дата публикации	0	0	1986-01-01	0	0	0
1997	духовный	Q484365	Дэвид Духовны	P166	полученные награды	премия «Спутник» за лучшую мужскую роль в драматическом телесериале	0	0	0	0	1997-01-01
[1958, 1964]	духовный	Q484365	Дэвид Духовны	P569	дата рождения	0	0	1960-08-07	0	0	0
[1988, 2001]	духовный	Q484365	Дэвид Духовны	P2031	начало периода активности	0	0	1988-01-01	0	0	0
1997	духовный	Q484365	Дэвид Духовны	P166	полученные награды	Премия «Золотой глобус» за лучшую мужскую роль в телевизионном сериале — драма	0	0	0	0	1997-01-01
1948	дерево	Q4158748	Дерев, Станислав Эдуардович	P569	дата рождения	0	0	1947-09-14	0	0	0
[2006, 2008]	дерево	Q4158748	Дерев, Станислав Эдуардович	P570	дата смерти	0	0	2006-07-19	0	0	0
[1987, 2003]	директор	Q177077	Директор	P577	дата публикации	0	0	1987-01-01	0	0	0
1997	добрый	Q18774791	Доброе	P131	административно-территориальная единица	Солнцевский район	0	0	1928-06-16	1996-08-14	0
1997	добрый	Q18774791	Доброе	P131	административно-территориальная единица	Бунинский сельсовет	0	0	1996-08-15	0	0
[1991, 1992]	доказательство	Q3407500	Доказательство	P577	дата публикации	0	0	1991-01-01	0	0	0
[2004, 2009]	деталь	Q4159298	Детали	P272	производящая компания	MB-group	0	0	0	0	2004-01-01
[2004, 2009]	деталь	Q4159298	Детали	P582	дата окончания	0	0	2007-12-26	0	0	0
[2005, 2009]	детский	Q1201567	Детское	P131	административно-территориальная единица	Пригородное сельское поселение	0	0	2008-06-30	0	0
[1996, 2008]	десять	Q1167123	Десять заповедей	P577	дата публикации	0	0	2007-01-01	0	0	0
1923	дальний	Q4154287	Дальний	P571	дата основания/создания/возникновения	0	0	1922-01-01	0	0	0
[1993, 2006]	дальний	Q24728283	Дальний	P131	административно-территориальная единица	Зеленорощинский сельсовет	0	0	2003-12-01	0	0
[1953, 1960]	дальний	Q74881	Далянь	P131	административно-территориальная единица	Ляонин	0	0	1954-01-01	0	0
[1945, 1947]	дальний	Q74881	Далянь	P17	государство	Японская империя	0	0	1904-01-01	1945-01-01	0
[1993, 2006]	дальний	Q24728177	Дальний	P131	административно-территориальная единица	Дальний сельсовет	0	0	2003-12-01	0	0
1925	дальний	Q11627144	Дальнее	P571	дата основания/создания/возникновения	0	0	1925-10-01	0	0	0
[1980, 1982]	десяток	Q184591	Десятка	P577	дата публикации	0	0	1980-04-24	0	0	0
[2005, 2009]	демократия	Q5255479	Демократия	P577	дата публикации	0	0	2007-08-17	0	0	0
[2005, 2009]	демократия	Q5255479	Демократия	P577	дата публикации	0	0	2007-03-09	0	0	0
[1988, 1994]	доктор	Q2624506	Доктор	P577	дата публикации	0	0	1991-01-01	0	0	0
1941	долгий	Q13133293	Долгое	P131	административно-территориальная единица	Линовский сельсовет	0	0	1940-01-01	0	0
[2003, 2009]	долгий	Q21336023	Долгое	P131	административно-территориальная единица	Вороновское сельское поселение	0	0	2005-01-01	0	0
