Year or Period	Unigram	#Q	Subject	#P	Predicate	Object	Organization	Just Date	Start Time	End Time	Time Point
[1944, 1946]	дерпт	Q13972	Тарту	P17	государство	СССР	0	0	1944-08-25	1991-01-01	0
[1944, 1946]	дерпт	Q13972	Тарту	P17	государство	Гитлеровская Германия	0	0	1941-07-26	1944-08-25	0
[1976, 1977]	дунаевский	Q153474	(4306) Дунаевский	P575	дата открытия	0	0	1976-09-24	0	0	0
2009	девятка	Q1892083	Девятки	P577	дата публикации	0	0	2007-01-01	0	0	0
[1971, 1977]	девятка	Q21639010	Доменная печь № 9	P571	дата основания/создания/возникновения	0	0	1974-12-30	0	0	0
[1993, 2001]	декоратор	Q19625336	Декоратор	P577	дата публикации	0	0	1999-01-01	0	0	0
1938	дюк	Q215556	Поль Дюка	P166	полученные награды	Римская премия	0	0	0	0	1888-01-01
[1933, 1937]	детгиз	Q4159426	Детская литература	P571	дата основания/создания/возникновения	0	0	1933-01-01	0	0	0
1976	джефферсон	Q153227	Джефферсоны	P1191	первое исполнение	0	0	1975-01-01	0	0	0
1976	джефферсон	Q153227	Джефферсоны	P580	дата начала	0	0	1975-01-18	0	0	0
1933	днепрогэс	Q738619	Днепрогэс	P17	государство	СССР	0	0	1932-01-01	1992-01-01	0
1933	днепрогэс	Q738619	Днепрогэс	P1619	дата официального открытия	0	0	1932-01-01	0	0	0
[1989, 1993]	джейн	Q21405456	Джейн	P569	дата рождения	0	0	1992-02-07	0	0	0
1992	дункан	Q3041247	Дункан	P571	дата основания/создания/возникновения	0	0	1892-01-01	0	0	0
[1979, 1984]	джонни	Q1047327	(3252) Джонни	P575	дата открытия	0	0	1981-03-02	0	0	0
1932	дирхем	Q200192	марокканский дирхам	P580	дата начала	0	0	1882-01-01	0	0	0
1957	дашнак	Q318657	Дашнакцутюн	P463	участник организации или клуба	Второй интернационал	0	0	1907-01-01	1916-01-01	0
[1923, 1924]	дашнак	Q318657	Дашнакцутюн	P463	участник организации или клуба	Социалистический рабочий интернационал	0	0	1923-01-01	1940-01-01	0
[1955, 1958]	добужинский	Q972018	Добужинский, Мстислав Валерианович	P570	дата смерти	0	0	1957-11-20	0	0	0
[1991, 1992]	дубровник	Q1722	Дубровник	P17	государство	Югославия	0	0	1945-05-09	1991-06-24	0
1941	дубровник	Q1722	Дубровник	P17	государство	Независимое государство Хорватия	0	0	1941-04-10	1945-05-08	0
1941	дубровник	Q1722	Дубровник	P17	государство	Югославия	0	0	1918-12-01	1941-04-09	0
[1991, 1992]	дубровник	Q1722	Дубровник	P131	административно-территориальная единица	СР Хорватия	0	0	1946-01-01	1991-06-25	0
[1991, 1992]	дубровник	Q1722	Дубровник	P17	государство	Хорватия	0	0	1991-06-25	0	0
[1998, 2002]	диль	Q9310	Дили	P463	участник организации или клуба	União das Cidades Capitais Luso-Afro-Américo-Asiáticas	0	0	2001-01-01	0	0
1948	демина	Q904882	Острова Дёмина	P131	административно-территориальная единица	Южно-Курильский городской округ	0	0	1946-02-02	0	0
[1946, 1947]	даугава	Q165820	Динамо	P571	дата основания/создания/возникновения	0	0	1946-01-01	0	0	0
[1946, 1947]	даугава	Q165820	Динамо	P585	момент времени	0	0	1946-01-01	0	0	0
[2000, 2004]	дубровина	Q24728215	Дубровино	P131	административно-территориальная единица	Дубровинский сельсовет	0	0	2003-12-01	0	0
[2007, 2009]	дск	Q2061118	ДСК-Гомель	P571	дата основания/создания/возникновения	0	0	2008-01-01	0	0	0
[1935, 1936]	дубняк	Q4169350	Дубняки	P571	дата основания/создания/возникновения	0	0	1935-01-01	0	0	0
[1929, 1934]	джинн	Q61052	Джинна	P1619	дата официального открытия	0	0	1929-01-01	0	0	0
[2003, 2008]	доха	Q2076694	Доха	P1619	дата официального открытия	0	0	2005-01-01	0	0	0
[2003, 2008]	доха	Q2076694	Доха	P571	дата основания/создания/возникновения	0	0	2006-01-01	0	0	0
[1923, 1925]	долинский	Q591822	Долинская	P131	административно-территориальная единица	Долинский район	0	0	1923-03-07	0	0
[1923, 1925]	долинский	Q591822	Долинская	P1376	является столицей	Долинский район	0	0	1923-03-07	0	0
[1923, 1925]	долинский	Q4165029	Долинское	P131	административно-территориальная единица	Пятихатский район	0	0	1923-03-07	0	0
[1957, 1961]	долинский	Q3622393	Долинское	P131	административно-территориальная единица	Долинский район	0	0	1923-03-07	1957-01-01	0
[1957, 1961]	долинский	Q3622393	Долинское	P131	административно-территориальная единица	Ананьевский район	0	0	1957-01-01	0	0
[1937, 1944]	дав	Q1178908	Даву	P131	административно-территориальная единица	Специальный административный район Чуаньбянь	0	0	1913-01-01	1938-01-01	0
[1937, 1944]	дав	Q1178908	Даву	P131	административно-территориальная единица	Сикан	0	0	1939-01-01	1949-01-01	0
[2003, 2008]	дедов	Q3648204	Дедово	P131	административно-территориальная единица	Заднесельское сельское поселение	0	0	2006-01-01	0	0
[2003, 2008]	дедов	Q4156751	Дедово	P131	административно-территориальная единица	Миропольское сельское поселение	0	0	2004-12-02	0	0
1932	дзержинск	Q200891	Дзержинск	P131	административно-территориальная единица	Дзержинский польский национальный район	0	0	1932-03-15	1937-07-31	0
[1938, 1939]	дзержинск	Q200891	Дзержинск	P131	административно-территориальная единица	Минский район	0	0	1937-07-31	1938-01-15	0
[1960, 1964]	дзержинск	Q2416525	Торецк	P31	это частный случай понятия	город областного значения Украины	0	0	1962-12-30	0	0
[1938, 1939]	дзержинск	Q2416525	Торецк	P131	административно-территориальная единица	Донецкая область	0	0	1938-06-03	0	0
1932	дзержинск	Q200891	Дзержинск	P131	административно-территориальная единица	Дзержинский район	0	0	1924-07-17	1932-03-15	0
[1934, 1936]	делон	Q1183918	Делоне	P138	названо в честь	Делоне, Шарль-Эжен	0	0	1935-01-01	0	0
[1979, 1983]	доминик	Q784	Доминика	P463	участник организации или клуба	Международная финансовая корпорация	0	0	1980-09-29	0	0
[1979, 1983]	доминик	Q784	Доминика	P463	участник организации или клуба	Международный банк реконструкции и развития	0	0	1980-09-29	0	0
[1990, 1995]	доминик	Q784	Доминика	P463	участник организации или клуба	Многостороннее агентство по гарантиям инвестиций	0	0	1991-10-07	0	0
[1979, 1983]	доминик	Q784	Доминика	P463	участник организации или клуба	ЮНЕСКО	0	0	1979-01-09	0	0
2002	доминик	Q1238124	Доминик	P570	дата смерти	0	0	2000-01-01	0	0	0
[1979, 1983]	доминик	Q784	Доминика	P463	участник организации или клуба	Международная ассоциация развития	0	0	1980-09-29	0	0
[1996, 2001]	дублер	Q1146296	Дублёры	P577	дата публикации	0	0	2000-01-01	0	0	0
[1996, 2001]	дублер	Q17319627	Дублёр	P577	дата публикации	0	0	2000-03-01	0	0	0
[2004, 2009]	дублер	Q1372845	Дублёр	P577	дата публикации	0	0	2006-01-01	0	0	0
[1980, 1983]	досифей	Q259539	Досифей	P570	дата смерти	0	0	1981-05-20	0	0	0
[2005, 2006]	дубовский	Q4169491	Дубовский	P131	административно-территориальная единица	Аликовское сельское поселение	0	0	2005-01-01	0	0
[1946, 1952]	дубовский	Q427843	Дубовский	P571	дата основания/создания/возникновения	0	0	1946-01-01	0	0	0
[1959, 1960]	димо	Q4161737	Димо, Николай Александрович	P570	дата смерти	0	0	1959-03-15	0	0	0
[2004, 2009]	дуда	Q329533	Дуда	P54	член спортивной команды	Малага	0	0	2001-01-01	2006-01-01	0
[2004, 2009]	дуда	Q329533	Дуда	P54	член спортивной команды	сборная Португалии по футболу	0	0	2007-01-01	2010-01-01	0
[2004, 2009]	дуда	Q329533	Дуда	P54	член спортивной команды	Малага	0	0	2008-01-01	2009-01-01	0
[2004, 2009]	дуда	Q329533	Дуда	P54	член спортивной команды	Севилья	0	0	2006-01-01	2009-01-01	0
2004	дубровка	Q20468709	Дубровка	P131	административно-территориальная единица	Веркудский сельсовет	0	0	2004-01-01	0	0
[2001, 2007]	дубровка	Q12102673	Дубровка	P131	административно-территориальная единица	Ныргындинское сельское поселение	0	0	2005-01-01	0	0
[2001, 2007]	дубровка	Q4169707	Дубровка	P131	административно-территориальная единица	Бронницкое сельское поселение	0	0	2005-01-01	0	0
[2001, 2007]	дубровка	Q16910070	Дубровка	P131	административно-территориальная единица	Арыкское сельское поселение	0	0	2006-01-01	0	0
[1924, 1926]	дубровка	Q21649791	Дубровка	P131	административно-территориальная единица	Ананичский сельсовет	0	0	1924-07-17	0	0
[1924, 1926]	дубровка	Q6488957	Дубровка	P131	административно-территориальная единица	Октябрьский сельсовет	0	0	1924-01-01	0	0
2004	дубровка	Q4169771	Дубровки	P131	административно-территориальная единица	Спасский район	0	0	1964-03-03	2004-11-01	0
2004	дубровка	Q29401617	Дубровка	P131	административно-территориальная единица	Верх-Суетский сельсовет	0	0	2003-12-01	0	0
[1924, 1926]	дубровка	Q20611378	Дубровка	P131	административно-территориальная единица	Горский сельсовет (Краснопольский район, Могилёвская область)	0	0	1924-01-01	0	0
[1963, 1965]	дубровка	Q4169771	Дубровки	P131	административно-территориальная единица	Нижнеломовский район	0	0	1963-02-01	1964-03-01	0
[1963, 1965]	дубровка	Q4169771	Дубровки	P131	административно-территориальная единица	Спасский район	0	0	1928-07-16	1963-01-31	0
2004	дубровка	Q4670	Террористический акт на Дубровке	P585	момент времени	0	0	2002-10-26	0	0	0
[1928, 1929]	дубровка	Q4169771	Дубровки	P131	административно-территориальная единица	Спасский уезд	0	0	1925-03-16	1928-07-15	0
2004	дубровка	Q4169771	Дубровки	P131	административно-территориальная единица	Дубровское сельское поселение	0	0	2004-11-02	0	0
2004	дубровка	Q4169722	Дубровка	P131	административно-территориальная единица	Думиничский район	0	0	1966-12-31	2004-10-31	0
[2001, 2007]	дубровка	Q4169714	Дубровка	P131	административно-территориальная единица	Творишинское сельское поселение	0	0	2005-01-01	0	0
2004	дубровка	Q21336093	Дубровка	P131	административно-территориальная единица	Бирючанское сельское поселение	0	0	2004-12-20	0	0
[2001, 2007]	дубровка	Q18775374	Дубровка	P131	административно-территориальная единица	Тыловыл-Пельгинское сельское поселение	0	0	2005-01-01	0	0
2004	дубровка	Q4169754	Дубровка	P131	административно-территориальная единица	Сметанинское сельское поселение	0	0	2004-12-02	0	0
2004	дубровка	Q4169732	Дубровка	P131	административно-территориальная единица	Кузьмичское сельское поселение	0	0	2004-12-02	0	0
[1924, 1926]	дубровка	Q25509027	Дубровка	P571	дата основания/создания/возникновения	0	0	1925-01-01	0	0	0
2004	дубровка	Q4169722	Дубровка	P131	административно-территориальная единица	Сельское поселение «Деревня Дубровка»	0	0	2004-11-01	0	0
2004	дубровка	Q21669135	Дубровка	P131	административно-территориальная единица	Жиздринский район	0	0	1929-10-01	2004-12-27	0
[2001, 2007]	дубровка	Q15254490	Дубровка	P131	административно-территориальная единица	Лопьяльское сельское поселение	0	0	2006-01-01	0	0
2004	дубровка	Q4670	Террористический акт на Дубровке	P580	дата начала	0	0	2002-10-23	0	0	0
2004	дубровка	Q4670	Террористический акт на Дубровке	P582	дата окончания	0	0	2002-10-26	0	0	0
[1924, 1926]	дубровка	Q1965217	Дубровка	P131	административно-территориальная единица	Дубровская волость	0	0	1924-06-10	1929-09-30	0
[2001, 2007]	дубровка	Q1965217	Дубровка	P131	административно-территориальная единица	Дубровский район	0	0	1929-10-01	2005-03-08	0
[1924, 1926]	дубровка	Q20611378	Дубровка	P131	административно-территориальная единица	Чериковский уезд	0	0	1773-01-01	1924-01-01	0
2004	дубровка	Q4169700	Дубровка	P131	административно-территориальная единица	Баскаковское сельское поселение	0	0	2004-12-02	0	0
2004	дубровка	Q4169755	Дубровка	P131	административно-территориальная единица	Полдневское сельское поселение	0	0	2004-12-02	0	0
[2001, 2007]	дубровка	Q29568001	Дубровка	P131	административно-территориальная единица	Веребьинское сельское поселение	0	0	2005-11-11	0	0
2004	дубровка	Q21669135	Дубровка	P131	административно-территориальная единица	Сельское поселение «Село Совхоз Коллективизатор»	0	0	2004-12-28	0	0
[2001, 2007]	дубровка	Q1965217	Дубровка	P131	административно-территориальная единица	Дубровское городское поселение	0	0	2005-03-09	0	0
[1924, 1926]	дубровка	Q1965217	Дубровка	P131	административно-территориальная единица	Алешинская волость	0	0	1861-01-01	1924-06-09	0
[1997, 2002]	джафар	Q694636	Джафар	P39	занимаемая должность	Янг ди-Пертуан Агонг	0	0	1994-04-26	1999-04-25	0
[1988, 1994]	душка	Q210200	Элайза Душку	P2031	начало периода активности	0	0	1992-01-01	0	0	0
[1980, 1984]	душка	Q210200	Элайза Душку	P569	дата рождения	0	0	1980-12-30	0	0	0
[2006, 2008]	душка	Q2364596	Душка	P577	дата публикации	0	0	2007-01-01	0	0	0
[1990, 1998]	дилер	Q316761	Дилер	P577	дата публикации	0	0	1996-08-30	0	0	0
[1990, 1998]	дилер	Q7261781	Дилер	P577	дата публикации	0	0	1996-01-01	0	0	0
[1954, 1959]	дальстрой	Q2619400	Дальстрой	P576	дата прекращения существования	0	0	1957-01-01	0	0	0
[1977, 1982]	дорофей	Q19615169	Дорофей	P570	дата смерти	0	0	1978-02-19	0	0	0
[1982, 1983]	дантон	Q1165071	Дантон	P166	полученные награды	приз Луи Деллюка	0	0	0	0	1982-01-01
[1939, 1943]	дюссельдорф	Q1718	Дюссельдорф	P6	глава правительства	Гельмут Отто	0	0	1937-09-08	1939-01-01	0
[1993, 1997]	дюссельдорф	Q1718	Дюссельдорф	P6	глава правительства	Klaus Bungert	0	0	1984-01-01	1994-01-01	0
[1939, 1943]	дюссельдорф	Q1718	Дюссельдорф	P6	глава правительства	Carl Haidn	0	0	1939-12-11	1945-03-28	0
1929	дюссельдорф	Q1718	Дюссельдорф	P131	административно-территориальная единица	земельный район Дюссельдорф	0	0	1816-01-01	1929-01-01	0
1929	дюссельдорф	Q58226	Дюссельдорф	P1619	дата официального открытия	0	0	1927-01-01	0	0	0
1929	дюссельдорф	Q1718	Дюссельдорф	P131	административно-территориальная единица	Дюссельдорф	0	0	1929-01-01	0	0
1925	дюссельдорф	Q1718	Дюссельдорф	P6	глава правительства	Эмиль Кётген	0	0	1919-12-02	1924-03-31	0
[1958, 1962]	дюссельдорф	Q1718	Дюссельдорф	P6	глава правительства	Fritz Vomfelde	0	0	1961-03-28	1961-11-17	0
[1993, 1997]	дюссельдорф	Q1718	Дюссельдорф	P6	глава правительства	Marlies Smeets	0	0	1994-01-01	1999-01-01	0
[1958, 1962]	дюссельдорф	Q1718	Дюссельдорф	P6	глава правительства	Willi Becker	0	0	1960-01-01	1961-03-01	0
1925	дюссельдорф	Q1718	Дюссельдорф	P6	глава правительства	Лер, Роберт	0	0	1924-01-01	1933-09-22	0
[1958, 1962]	дюссельдорф	Q1718	Дюссельдорф	P6	глава правительства	Georg Glock	0	0	1956-01-01	1959-12-01	0
[1958, 1962]	дюссельдорф	Q1718	Дюссельдорф	P6	глава правительства	Петер Мюллер	0	0	1961-01-01	1964-01-01	0
1993	деликатес	Q827105	Деликатесы	P577	дата публикации	0	0	1992-04-09	0	0	0
1991	деликатес	Q827105	Деликатесы	P577	дата публикации	0	0	1991-01-01	0	0	0
[1995, 1997]	дилижанс	Q50714	Дилижанс	P166	полученные награды	Национальный реестр фильмов США	0	0	0	0	1995-01-01
[1982, 1986]	дэв	Q5266378	Дэв	P569	дата рождения	0	0	1982-12-25	0	0	0
1979	деметра	Q136011	(1108) Деметра	P575	дата открытия	0	0	1929-05-31	0	0	0
1984	дюрер	Q918745	(3104) Дюрер	P575	дата открытия	0	0	1982-01-24	0	0	0
[2005, 2009]	двойня	Q20019437	Двойня	P131	административно-территориальная единица	Сельское поселение Итомля	0	0	2005-01-01	0	0
[2005, 2009]	дмитровка	Q27575833	Дмитровка	P131	административно-территориальная единица	Алфёровское сельское поселение	0	0	2005-01-01	0	0
1950	дмитровка	Q4162963	Дмитровка	P571	дата основания/создания/возникновения	0	0	1850-01-01	0	0	0
[2005, 2009]	дмитровка	Q18774754	Дмитровка	P131	административно-территориальная единица	Алёховщинское сельское поселение	0	0	2006-01-01	0	0
1938	дублин	Q1761	Дублин	P17	государство	Ирландское Свободное государство	0	0	1922-12-06	1937-12-28	0
1938	дублин	Q1761	Дублин	P17	государство	Ирландия	0	0	1937-12-29	0	0
1938	дублин	Q1761	Дублин	P1376	является столицей	Ирландия	0	0	1937-12-29	0	0
1938	дублин	Q1761	Дублин	P1376	является столицей	Ирландское Свободное государство	0	0	1922-12-06	1937-12-29	0
[1946, 1953]	дерновой	Q4159032	Дерновой, Анатолий Григорьевич	P569	дата рождения	0	0	1951-08-26	0	0	0
1966	джалиля	Q635059	Джалили, Саид	P569	дата рождения	0	0	1965-09-01	0	0	0
1942	двинск	Q80021	Даугавпилс	P131	административно-территориальная единица	Латвия	0	0	1920-08-11	1940-01-01	0
[1986, 2002]	двинск	Q80021	Даугавпилс	P131	административно-территориальная единица	Латвия	0	0	1990-01-01	0	0
1942	двинск	Q80021	Даугавпилс	P131	административно-территориальная единица	Латвийская Советская Социалистическая Республика	0	0	1940-01-01	1990-01-01	0
[1955, 1962]	дежа	Q64046	Дежа, Андреас	P569	дата рождения	0	0	1957-04-01	0	0	0
[2004, 2005]	детонатор	Q1434995	Детонатор	P577	дата публикации	0	0	2004-10-08	0	0	0
[1990, 1996]	детонатор	Q4159394	Детонатор	P577	дата публикации	0	0	1992-01-01	0	0	0
[1993, 1995]	джорджия	Q246141	Джорджия	P571	дата основания/создания/возникновения	0	0	1993-01-01	0	0	0
[1970, 1971]	джонатан	Q6272379	Джонатан	P577	дата публикации	0	0	1970-05-15	0	0	0
[1973, 1977]	дейнека	Q1190232	(9514) Дейнека	P575	дата открытия	0	0	1973-09-27	0	0	0
[1999, 2009]	дез	Q4180384	Жилищно-эксплуатационная контора	P576	дата прекращения существования	0	0	2005-03-01	0	0	0
[1958, 1960]	дез	Q4180384	Жилищно-эксплуатационная контора	P571	дата основания/создания/возникновения	0	0	1959-01-01	0	0	0
[1932, 1943]	даладья	Q213526	Эдуар Даладье	P39	занимаемая должность	председатель Совета министров Франции	0	0	1933-01-31	1933-10-26	0
1938	даладья	Q213526	Эдуар Даладье	P39	занимаемая должность	председатель Совета министров Франции	0	0	1938-04-10	1940-03-20	0
1942	даладья	Q213526	Эдуар Даладье	P39	занимаемая должность	депутат Национального собрания Франции	0	0	1919-11-16	1942-05-31	0
[1932, 1943]	даладья	Q213526	Эдуар Даладье	P39	занимаемая должность	председатель Совета министров Франции	0	0	1934-01-30	1934-02-07	0
[1965, 1970]	дзета	Q136605	Дзета	P577	дата публикации	0	0	1969-01-01	0	0	0
[1965, 1970]	дзета	Q136605	Дзета	P1411	номинирован на	премия «Оскар» за лучший фильм	0	0	0	0	1969-01-01
1959	джамиля	Q3032784	Джамиля	P577	дата публикации	0	0	1958-01-01	0	0	0
[1969, 1971]	джамиля	Q2266394	Джамиля	P577	дата публикации	0	0	1969-01-01	0	0	0
2001	деррида	Q130631	Жак Деррида	P166	полученные награды	премия Теодора Адорно	0	0	0	0	2001-01-01
1978	джулия	Q1166180	Джулия	P166	полученные награды	премия «Золотой глобус» за лучшую женскую роль второго плана — кинофильм	0	0	0	0	1977-01-01
1978	джулия	Q1166180	Джулия	P166	полученные награды	премия «Золотой глобус» за лучшую женскую роль — драма	0	0	0	0	1977-01-01
1978	джулия	Q1166180	Джулия	P1411	номинирован на	премия Национального общества кинокритиков США  за лучшую мужскую роль второго плана	0	0	0	0	1977-01-01
1978	джулия	Q1166180	Джулия	P1411	номинирован на	премия «Золотой глобус» за лучший сценарий	0	0	0	0	1977-01-01
1978	джулия	Q1166180	Джулия	P1411	номинирован на	премия «Золотой глобус» за лучшую женскую роль — драма	0	0	0	0	1977-01-01
1978	джулия	Q1166180	Джулия	P1411	номинирован на	премия «Золотой глобус» за лучшую мужскую роль второго плана — Кинофильм	0	0	0	0	1977-01-01
1978	джулия	Q1166180	Джулия	P1411	номинирован на	премия «Золотой глобус» за лучшую женскую роль второго плана — кинофильм	0	0	0	0	1977-01-01
1978	джулия	Q1166180	Джулия	P1411	номинирован на	Directors Guild of America Award for Outstanding Directing – Feature Film	0	0	0	0	1977-01-01
1978	джулия	Q1166180	Джулия	P1411	номинирован на	премия Национального общества кинокритиков США за лучшую женскую роль	0	0	0	0	1977-01-01
1978	джулия	Q1166180	Джулия	P166	полученные награды	премия «Давид ди Донателло» лучшей иностранной актрисе	0	0	0	0	1978-01-01
1978	джулия	Q1166180	Джулия	P1411	номинирован на	премия «Золотой глобус» за лучшую режиссёрскую работу	0	0	0	0	1977-01-01
1978	джулия	Q1166180	Джулия	P1411	номинирован на	премия «Оскар» за лучший фильм	0	0	0	0	1977-01-01
1978	джулия	Q1166180	Джулия	P915	место съёмок	Вокзал Страсбург	0	0	0	0	1976-01-01
[1958, 1959]	джулия	Q651130	Джулия	P569	дата рождения	0	0	1958-01-01	0	0	0
1978	джулия	Q1166180	Джулия	P577	дата публикации	0	0	1977-01-01	0	0	0
1978	джулия	Q1166180	Джулия	P1411	номинирован на	Премия «Золотой глобус» за лучший фильм — драма	0	0	0	0	1977-01-01
[2002, 2006]	дубово	Q19847937	Дубово	P131	административно-территориальная единица	Денисовское сельское поселение	0	0	2005-05-13	0	0
[1929, 1934]	долорес	Q137519	(1277) Долорес	P575	дата открытия	0	0	1933-04-18	0	0	0
[1998, 2000]	добровский	Q2710075	(40440) Добровский	P575	дата открытия	0	0	1999-09-11	0	0	0
[1983, 1987]	доронина	Q2425207	(19120) Доронина	P575	дата открытия	0	0	1983-08-06	0	0	0
[1980, 1987]	джакарта	Q749497	Сукарно-Хатта	P1619	дата официального открытия	0	0	1985-05-01	0	0	0
[1955, 1960]	дега	Q1208513	Деге	P131	административно-территориальная единица	Гардзе-Тибетский автономный округ	0	0	1955-10-01	0	0
1939	дега	Q1208513	Деге	P131	административно-территориальная единица	Сикан	0	0	1939-01-01	1949-01-01	0
[1955, 1960]	дега	Q1208513	Деге	P131	административно-территориальная единица	Тибетский автономный район провинции Сикан	0	0	1950-11-25	1955-09-30	0
1939	дега	Q1208513	Деге	P131	административно-территориальная единица	Специальный административный район Чуаньбянь	0	0	1913-01-01	1938-12-31	0
[1968, 1969]	джалиль	Q695191	Джалиль	P571	дата основания/создания/возникновения	0	0	1968-01-01	0	0	0
1924	добренький	Q4163423	Добренькая	P131	административно-территориальная единица	Красноградский район	0	0	1923-03-07	0	0
1997	дамиан	Q3012788	Дамиан	P39	занимаемая должность	Патриарх града Иерусалима и всей Палестины	0	0	1897-08-27	1931-08-14	0
[2004, 2006]	дубров	Q21336091	Дуброва	P131	административно-территориальная единица	Вельжичское сельское поселение	0	0	2005-01-01	0	0
[2004, 2006]	дубров	Q20673321	Дуброва	P131	административно-территориальная единица	Веретейское сельское поселение	0	0	2004-12-21	0	0
[1931, 1941]	дэви	Q866419	Дэви	P138	названо в честь	Дэви, Гемфри	0	0	1935-01-01	0	0
1961	дагомея	Q797505	Французская Дагомея	P576	дата прекращения существования	0	0	1960-01-01	0	0	0
[1934, 1939]	дуче	Q23559	Бенито Муссолини	P39	занимаемая должность	министр общественных работ Королевства Италия	0	0	1935-08-07	1935-09-05	0
1943	дуче	Q23559	Бенито Муссолини	P39	занимаемая должность	председатель Совета Министров Королевства Италия	0	0	1922-10-31	1943-07-25	0
[1926, 1932]	дуче	Q23559	Бенито Муссолини	P39	занимаемая должность	министр общественных работ Королевства Италия	0	0	1930-02-03	1930-12-13	0
[1941, 1946]	дуче	Q23559	Бенито Муссолини	P570	дата смерти	0	0	1945-04-28	0	0	0
[1926, 1932]	дуче	Q23559	Бенито Муссолини	P39	занимаемая должность	министр флота Королевства Италия	0	0	1926-01-03	1929-09-12	0
[1934, 1939]	дуче	Q23559	Бенито Муссолини	P39	занимаемая должность	министр по делам корпораций Королевства Италия	0	0	1929-09-12	1936-06-11	0
1943	дуче	Q23559	Бенито Муссолини	P39	занимаемая должность	министр флота Королевства Италия	0	0	1933-11-06	1943-07-25	0
1943	дуче	Q23559	Бенито Муссолини	P39	занимаемая должность	министр внутренних дел Королевства Италия	0	0	1926-11-05	1943-07-25	0
1943	дуче	Q23559	Бенито Муссолини	P39	занимаемая должность	министр иностранных дел	Итальянская социальная республика	0	1943-09-23	1945-04-28	0
1943	дуче	Q23559	Бенито Муссолини	P39	занимаемая должность	военный министр Королевства Италия	0	0	1933-07-22	1943-07-25	0
[1926, 1932]	дуче	Q23559	Бенито Муссолини	P39	занимаемая должность	министр общественных работ Королевства Италия	0	0	1929-04-30	1929-09-12	0
[1926, 1932]	дуче	Q23559	Бенито Муссолини	P39	занимаемая должность	министр флота Королевства Италия	0	0	1925-05-08	1926-01-03	0
[1926, 1932]	дуче	Q23559	Бенито Муссолини	P39	занимаемая должность	министр Королевства Италия по делам Итальянской Африки	0	0	1928-12-18	1929-09-12	0
[1926, 1932]	дуче	Q23559	Бенито Муссолини	P39	занимаемая должность	военный министр Королевства Италия	0	0	1926-01-03	1929-09-12	0
1943	дуче	Q23559	Бенито Муссолини	P39	занимаемая должность	председатель Совета министров Италии	Итальянская социальная республика	0	1943-09-23	1945-04-28	0
[1934, 1939]	дуче	Q23559	Бенито Муссолини	P166	полученные награды	цепь Имперского ордена Красных стрел	0	0	0	0	1937-01-01
[1934, 1939]	дуче	Q23559	Бенито Муссолини	P1411	номинирован на	Нобелевская премия мира	0	0	0	0	1935-01-01
[1926, 1932]	дуче	Q714189	Дуче	P263	официальная резиденция	Палаццо Киджи	0	0	1925-12-24	1929-01-01	0
1943	дуче	Q714189	Дуче	P263	официальная резиденция	Палаццо Венеция	0	0	1929-01-01	1943-07-25	0
[1941, 1946]	дуче	Q23559	Бенито Муссолини	P119	место погребения	Миланское главное кладбище	0	0	1945-01-01	1946-04-24	0
1943	дуче	Q23559	Бенито Муссолини	P39	занимаемая должность	национальный советник Палаты фасций и корпораций	0	0	1939-03-23	1943-08-02	0
[1926, 1932]	дуче	Q23559	Бенито Муссолини	P39	занимаемая должность	член Палаты депутатов Королевства Италия	0	0	1924-05-24	1929-01-21	0
[1934, 1939]	дуче	Q23559	Бенито Муссолини	P39	занимаемая должность	член Палаты депутатов Королевства Италия	0	0	1934-04-28	1939-03-02	0
[1926, 1932]	дуче	Q23559	Бенито Муссолини	P39	занимаемая должность	военный министр Королевства Италия	0	0	1925-04-04	1926-01-03	0
[1934, 1939]	дуче	Q23559	Бенито Муссолини	P39	занимаемая должность	член Палаты депутатов Королевства Италия	0	0	1929-04-20	1934-01-19	0
[1926, 1932]	дуче	Q23559	Бенито Муссолини	P39	занимаемая должность	министр иностранных дел Королевства Италия	0	0	1924-06-17	1929-09-12	0
1943	дуче	Q23559	Бенито Муссолини	P39	занимаемая должность	министр иностранных дел Королевства Италия	0	0	1943-02-06	1943-07-25	0
[1926, 1932]	дуче	Q23559	Бенито Муссолини	P39	занимаемая должность	министр авиации Королевства Италия	0	0	1925-08-30	1926-01-04	0
1943	дуче	Q23559	Бенито Муссолини	P39	занимаемая должность	министр авиации Королевства Италия	0	0	1933-11-06	1943-07-25	0
1943	дуче	Q23559	Бенито Муссолини	P39	занимаемая должность	министр Королевства Италия по делам Итальянской Африки	0	0	1935-01-18	1943-07-25	0
[1926, 1932]	дуче	Q23559	Бенито Муссолини	P39	занимаемая должность	министр авиации Королевства Италия	0	0	1926-01-04	1929-09-12	0
1943	дуче	Q23559	Бенито Муссолини	P39	занимаемая должность	Первый маршал Империи	0	0	1938-03-30	1943-07-25	0
[1934, 1939]	дуче	Q23559	Бенито Муссолини	P39	занимаемая должность	министр иностранных дел Королевства Италия	0	0	1932-07-19	1936-06-11	0
[1926, 1932]	дуче	Q23559	Бенито Муссолини	P39	занимаемая должность	министр по делам корпораций Королевства Италия	0	0	1926-07-02	1929-07-20	0
[1973, 1977]	дворжак	Q130010	(2055) Дворжак	P575	дата открытия	0	0	1974-02-19	0	0	0
