Year or Period	Bigram	#Q	Subject	#P	Predicate	Object	Organization	Just Date	Start Time	End Time	Time Point
[1990, 1996]	а цветаева	Q4503416	Цветаева, Анастасия Ивановна	P570	дата смерти	0	0	1993-09-05	0	0	0
[1981, 1984]	ачинский завод	Q4073365	Ачинский нефтеперерабатывающий завод	P571	дата основания/создания/возникновения	0	0	1982-12-12	0	0	0
[1973, 1982]	яценко а	Q4539768	Александр Яценко	P569	дата рождения	0	0	1977-05-22	0	0	0
[1977, 1979]	яценко в	Q4539768	Александр Яценко	P569	дата рождения	0	0	1977-05-22	0	0	0
[1999, 2003]	ячейка революционный	Q1778907	Революционные ячейки	P576	дата прекращения существования	0	0	2000-01-01	0	0	0
