Year or Period	Bigram	#Q	Subject	#P	Predicate	Object	Organization	Just Date	Start Time	End Time	Time Point
[1923, 1927]	губерния черниговский	Q545958	Черниговская губерния	P131	административно-территориальная единица	Украинская Советская Социалистическая Республика	0	0	1919-11-07	1925-07-31	0
[1954, 1959]	губернский тюрьма	Q4449596	Таганская тюрьма	P31	это частный случай понятия	тюрьма	0	0	1804-01-01	1958-01-01	0
[1954, 1959]	губернский тюрьма	Q4449596	Таганская тюрьма	P576	дата прекращения существования	0	0	1958-01-01	0	0	0
[1988, 1993]	губин а	Q83643	Андрей Викторович Губин	P2031	начало периода активности	0	0	1989-01-01	0	0	0
[2007, 2009]	губин виктор	Q56581219	Виктор Викторович Губин	P570	дата смерти	0	0	2007-03-03	0	0	0
[1995, 1997]	губин виктор	Q56581124	Виктор Евдокимович Губин	P570	дата смерти	0	0	1996-09-03	0	0	0
[1946, 1950]	губин и	Q4151376	Губин, Георгий Иннокентьевич	P569	дата рождения	0	0	1946-04-30	0	0	0
[2007, 2009]	губкинский городской	Q4151434	Губкинский городской округ	P571	дата основания/создания/возникновения	0	0	2007-01-01	0	0	0
[1965, 1966]	губкинский район	Q4422307	Скородное	P131	административно-территориальная единица	Губкинский район	0	0	1965-01-12	2007-09-06	0
[1976, 1982]	губной помада	Q1768442	Губная помада	P577	дата публикации	0	0	1976-01-01	0	0	0
[2002, 2004]	губский в	Q4151462	Губский, Богдан Владимирович	P39	занимаемая должность	народный депутат Украины	0	0	1998-05-12	2002-05-14	0
[2002, 2004]	губский в	Q4151462	Губский, Богдан Владимирович	P39	занимаемая должность	народный депутат Украины	0	0	2002-05-14	2006-05-25	0
[1934, 1936]	гуго де	Q160192	Хуго Де Фриз	P570	дата смерти	0	0	1935-05-21	0	0	0
[1923, 1928]	гуго стиннес	Q66864	Стиннес, Гуго	P570	дата смерти	0	0	1924-04-10	0	0	0
[2003, 2005]	гуд бай	Q154817	Гуд бай, Ленин!	P166	полученные награды	премия «Сезар» за лучший фильм из Европейского Союза	0	0	0	0	2004-01-01
[2003, 2005]	гуд бай	Q154817	Гуд бай, Ленин!	P577	дата публикации	0	0	2004-05-14	0	0	0
[2003, 2005]	гуд бай	Q154817	Гуд бай, Ленин!	P577	дата публикации	0	0	2003-02-13	0	0	0
[2003, 2005]	гуд бай	Q154817	Гуд бай, Ленин!	P577	дата публикации	0	0	2003-09-10	0	0	0
[2003, 2005]	гуд бай	Q154817	Гуд бай, Ленин!	P577	дата публикации	0	0	2003-02-09	0	0	0
[1964, 1966]	гудзий к	Q4151544	Гудзий, Николай Каллиникович	P570	дата смерти	0	0	1965-10-29	0	0	0
[1969, 1973]	гудилин а	Q4151560	Гудилин, Евгений Алексеевич	P569	дата рождения	0	0	1969-11-18	0	0	0
[1971, 1977]	гудимов в	Q4151578	Гудимов, Павел Владимирович	P569	дата рождения	0	0	1973-10-12	0	0	0
