Year or Period	Bigram	#Q	Subject	#P	Predicate	Object	Organization	Just Date	Start Time	End Time	Time Point
[1941, 1942]	ананьев николай	Q4064810	Ананьев, Николай Яковлевич	P570	дата смерти	0	0	1941-11-16	0	0	0
[1955, 1957]	ананьин г	Q4064829	Валентина Георгиевна Ананьина	P2031	начало периода активности	0	0	1955-01-01	0	0	0
[1927, 1931]	анастас иванович	Q152738	Анастас Иванович Микоян	P166	полученные награды	орден Красного Знамени	0	0	0	0	1928-02-20
[1935, 1939]	анастас иванович	Q152738	Анастас Иванович Микоян	P166	полученные награды	орден Ленина	0	0	0	0	1936-01-17
[1970, 1971]	анастас иванович	Q152738	Анастас Иванович Микоян	P166	полученные награды	орден Октябрьской Революции	0	0	0	0	1970-12-02
[1944, 1946]	анастас иванович	Q152738	Анастас Иванович Микоян	P166	полученные награды	орден Ленина	0	0	0	0	1945-11-24
[1936, 1940]	анастас микоян	Q7508280	Анастас Микоян	P138	названо в честь	Анастас Иванович Микоян	0	0	1938-01-01	0	0
[1970, 1971]	анастас микоян	Q152738	Анастас Иванович Микоян	P166	полученные награды	орден Октябрьской Революции	0	0	0	0	1970-12-02
[1936, 1940]	анастас микоян	Q152738	Анастас Иванович Микоян	P166	полученные награды	орден Ленина	0	0	0	0	1936-01-17
[1979, 1980]	анастасио сомос	Q218443	Анастасио Сомоса Дебайле	P39	занимаемая должность	президент Никарагуа	0	0	1974-12-01	1979-07-17	0
[1998, 2006]	анастасия александровна	Q4235670	Костюкова, Анастасия Александровна	P54	член спортивной команды	ЦСК ВВС (женский футбольный клуб)	0	0	2004-01-01	2004-01-01	0
[1998, 2006]	анастасия александровна	Q19614680	Дворянская, Анастасия Александровна	P569	дата рождения	0	0	2000-10-25	0	0	0
[1974, 1978]	анастасия александровна	Q4275253	Настя Макаревич	P569	дата рождения	0	0	1977-04-17	0	0	0
[1959, 1964]	анастасия александровна	Q302878	Анастасия Александровна Вертинская	P2031	начало периода активности	0	0	1961-01-01	0	0	0
[1998, 2006]	анастасия александровна	Q20676618	Федотова, Анастасия Александровна	P569	дата рождения	0	0	1998-11-30	0	0	0
[1987, 1992]	анастасия александровна	Q1756671	Анастасия Александровна Баннова	P569	дата рождения	0	0	1989-02-26	0	0	0
[1987, 1992]	анастасия александровна	Q15145978	Рыбаченко, Анастасия Александровна	P569	дата рождения	0	0	1991-09-11	0	0	0
[1974, 1978]	анастасия александровна	Q4152913	Гуськова, Анастасия Александровна	P569	дата рождения	0	0	1977-07-08	0	0	0
[1987, 1992]	анастасия александровна	Q4423952	Слонова, Анастасия Александровна	P569	дата рождения	0	0	1991-06-10	0	0	0
[1987, 1992]	анастасия александровна	Q19819707	Шинкаренко, Анастасия Александровна	P569	дата рождения	0	0	1991-12-16	0	0	0
[1998, 2006]	анастасия александровна	Q4235670	Костюкова, Анастасия Александровна	P54	член спортивной команды	Рязань-ВДВ	0	0	2005-01-01	2006-01-01	0
[1987, 1992]	анастасия александровна	Q4225531	Ковальчук, Анастасия Александровна	P569	дата рождения	0	0	1991-11-08	0	0	0
[1998, 2006]	анастасия александровна	Q4337905	Осипова, Анастасия Александровна	P2031	начало периода активности	0	0	2003-01-01	0	0	0
[1987, 1992]	анастасия александровна	Q12904862	Харитонова, Анастасия Александровна	P569	дата рождения	0	0	1987-02-06	0	0	0
[1959, 1964]	анастасия александровна	Q302878	Анастасия Александровна Вертинская	P69	учебное заведение	Театральный институт имени Бориса Щукина	0	0	1963-01-01	1967-01-01	0
