Year or Period	Bigram	#Q	Subject	#P	Predicate	Object	Organization	Just Date	Start Time	End Time	Time Point
1992	г попов	Q735373	Гавриил Харитонович Попов	P39	занимаемая должность	мэр Москвы	0.0	0	1991-06-12	1992-06-06	0
1938	г петров	Q4360799	Петров, Михаил Григорьевич	P569	дата рождения	0	0.0	1938-11-29	0	0	0
2008	г пинтер	Q41042	Пинтер, Гарольд	P570	дата смерти	0	0.0	2008-12-24	0	0	0
1997	г павлов	Q342557	Павлов, Дмитрий Григорьевич	P569	дата рождения	0	0.0	1897-10-23	0	0	0
[2004, 2006]	г петровский	Q4361199	Петровский, Гурий Тимофеевич	P570	дата смерти	0	0.0	2005-09-29	0	0	0
