Year or Period	Bigram	#Q	Subject	#P	Predicate	Object	Organization	Just Date	Start Time	End Time	Time Point
[1968, 1969]	амазаспович амбарцумян	Q164396	Виктор Амазаспович Амбарцумян	P166	полученные награды	орден Ленина	0	0	0	0	1968-09-17
[1978, 1989]	амазонка на	Q456467	Амазонки на Луне	P577	дата публикации	0	0	1987-09-18	0	0	0
[1978, 1989]	амазонка на	Q456467	Амазонки на Луне	P577	дата публикации	0	0	1988-12-22	0	0	0
[1978, 1989]	амазонка на	Q456467	Амазонки на Луне	P577	дата публикации	0	0	1987-01-01	0	0	0
[1993, 2001]	амалия и	Q4063900	Амалия&Амалия	P2031	начало периода активности	0	0	1993-01-01	0	0	0
[1993, 2001]	амалия и	Q4063900	Амалия&Амалия	P166	полученные награды	Государственная премия Российской Федерации	0	0	0	0	1996-01-01
[1995, 1999]	амалия мордвинова	Q4063900	Амалия&Амалия	P166	полученные награды	Государственная премия Российской Федерации	0	0	0	0	1996-01-01
[1988, 1998]	амальрик а	Q4063906	Леонид Амальрик	P570	дата смерти	0	0	1997-10-22	0	0	0
[1974, 1976]	аман кекил	Q2349508	Аман Кекилов	P570	дата смерти	0	0	1974-12-13	0	0	0
[1958, 1960]	аманжол с	Q4063933	Аманжолов, Сарсен Аманжолович	P570	дата смерти	0	0	1958-01-28	0	0	0
[1999, 2008]	амартия сено	Q132489	Сен, Амартия	P166	полученные награды	Премия Леонтьева	0	0	0	0	2000-01-01
[1999, 2008]	амартия сено	Q132489	Сен, Амартия	P166	полученные награды	Глобальная экономическая премия	0	0	0	0	2007-01-01
[1999, 2008]	амартия сено	Q132489	Сен, Амартия	P166	полученные награды	премия мастер Экхарта	0	0	0	0	2007-01-01
[1989, 1992]	амасийский район	Q4063973	Амасийский район	P17	государство	СССР	0	0	1930-09-09	1991-08-22	0
[1989, 1992]	амасийский район	Q4063973	Амасийский район	P17	государство	Армения	0	0	1991-08-23	1995-04-11	0
[1989, 1992]	амасийский район	Q4063973	Амасийский район	P131	административно-территориальная единица	Армянская Советская Социалистическая Республика	0	0	1930-09-09	1991-08-22	0
[1989, 1992]	амасийский район	Q4063973	Амасийский район	P131	административно-территориальная единица	Армения	0	0	1991-08-23	1995-04-11	0
[1971, 1982]	амбарцумян а	Q164396	Виктор Амазаспович Амбарцумян	P166	полученные награды	медаль «Серп и Молот»	0	0	0	0	1978-09-15
[1971, 1982]	амбарцумян а	Q164396	Виктор Амазаспович Амбарцумян	P166	полученные награды	орден Ленина	0	0	0	0	1974-01-01
[1971, 1982]	амбарцумян а	Q164396	Виктор Амазаспович Амбарцумян	P166	полученные награды	медаль Котениуса	0	0	0	0	1974-01-01
[1971, 1982]	амбарцумян а	Q164396	Виктор Амазаспович Амбарцумян	P166	полученные награды	медаль Гельмгольца	0	0	0	0	1971-01-01
[1971, 1982]	амбарцумян а	Q164396	Виктор Амазаспович Амбарцумян	P166	полученные награды	Большая золотая медаль имени М. В. Ломоносова	0	0	0	0	1971-01-01
[1957, 1962]	амбарцумян а	Q164396	Виктор Амазаспович Амбарцумян	P166	полученные награды	медаль «За трудовую доблесть»	0	0	0	0	1960-09-26
[1957, 1962]	амбарцумян а	Q164396	Виктор Амазаспович Амбарцумян	P166	полученные награды	медаль Кэтрин Брюс	0	0	0	0	1960-01-01
[1957, 1962]	амбарцумян а	Q164396	Виктор Амазаспович Амбарцумян	P166	полученные награды	орден Ленина	0	0	0	0	1958-09-17
[1971, 1982]	амбарцумян а	Q164396	Виктор Амазаспович Амбарцумян	P166	полученные награды	орден Ленина	0	0	0	0	1978-09-15
[1971, 1982]	амбарцумян а	Q4064013	Амбарцумян, Аркадий Станиславович	P569	дата рождения	0	0	1971-04-09	0	0	0
[1971, 1982]	амбарцумян а	Q164396	Виктор Амазаспович Амбарцумян	P166	полученные награды	Герой Социалистического Труда	0	0	0	0	1978-09-15
[1957, 1962]	амбарцумян а	Q164396	Виктор Амазаспович Амбарцумян	P166	полученные награды	золотая медаль Королевского астрономического общества	0	0	0	0	1960-01-01
