Year or Period	Bigram	#Q	Subject	#P	Predicate	Object	Organization	Just Date	Start Time	End Time	Time Point
[1981, 1986]	глен гульда	Q216924	Гульд, Гленн	P1411	номинирован на	премия «Джуно» за лучший классический альбом года — солисту или камерному ансамблю	0	0	0	0	1981-01-01
[1981, 1986]	глен гульда	Q216924	Гульд, Гленн	P1411	номинирован на	премия «Джуно» за лучший классический альбом года — солисту или камерному ансамблю	0	0	0	0	1983-01-01
[1981, 1986]	глен гульда	Q216924	Гульд, Гленн	P1411	номинирован на	Премия «Грэмми» за лучшее инструментальное сольное выступление (без оркестра)	0	0	0	0	1983-01-01
[1981, 1986]	глен гульда	Q216924	Гульд, Гленн	P166	полученные награды	премия «Джуно» за лучший классический альбом года — солисту или камерному ансамблю	0	0	0	0	1983-01-01
[1981, 1986]	глен гульда	Q216924	Гульд, Гленн	P1411	номинирован на	Grammy Award for Best Classical Performance – Instrumental Soloist or Soloists	0	0	0	0	1983-01-01
1986	глен гульда	Q216924	Гульд, Гленн	P1411	номинирован на	премия «Джуно» за лучший классический альбом года — солисту или камерному ансамблю	0	0	0	0	1984-01-01
1986	глен гульда	Q216924	Гульд, Гленн	P166	полученные награды	Зал славы премии «Грэмми»	0	0	0	0	1985-01-01
1986	глен гульда	Q216924	Гульд, Гленн	P166	полученные награды	премия «Джуно» за лучший классический альбом года — солисту или камерному ансамблю	0	0	0	0	1984-01-01
[1981, 1986]	глен гульда	Q216924	Гульд, Гленн	P570	дата смерти	0	0	1982-10-04	0	0	0
[1981, 1986]	глен гульда	Q216924	Гульд, Гленн	P1411	номинирован на	Премия «Грэмми» за лучшее инструментальное сольное выступление (без оркестра)	0	0	0	0	1982-01-01
[1981, 1986]	глен гульда	Q216924	Гульд, Гленн	P166	полученные награды	Премия «Грэмми» за лучшее инструментальное сольное выступление (без оркестра)	0	0	0	0	1982-01-01
2000	глен гульда	Q216924	Гульд, Гленн	P166	полученные награды	Канадская Аллея славы	0	0	0	0	1998-01-01
[1968, 1971]	глен гульда	Q216924	Гульд, Гленн	P166	полученные награды	премия Молсона	0	0	0	0	1968-01-01
[1981, 1986]	глен гульда	Q216924	Гульд, Гленн	P1411	номинирован на	Премия «Грэмми» за лучший классический альбом	0	0	0	0	1982-01-01
[1981, 1986]	глен гульда	Q216924	Гульд, Гленн	P166	полученные награды	Премия «Грэмми» за лучший классический альбом	0	0	0	0	1982-01-01
[1963, 1965]	глен миллер	Q5567897	Глен Миллер	P569	дата рождения	0	0	1963-11-03	0	0	0
[2003, 2009]	глен миллер	Q103651	Миллер, Гленн	P166	полученные награды	Grammy Lifetime Achievement Award	0	0	0	0	2003-01-01
1974	гленда джексон	Q182408	Джексон, Гленда	P166	полученные награды	премия «Оскар» за лучшую женскую роль	0	0	0	0	1973-01-01
[1992, 1994]	гленда джексон	Q182408	Джексон, Гленда	P39	занимаемая должность	Member of the 51st Parliament of the United Kingdom	0	0	1992-04-09	1997-04-08	0
1999	гленн гульда	Q216924	Гульд, Гленн	P166	полученные награды	Канадская Аллея славы	0	0	0	0	1998-01-01
1992	гленн клоуз	Q372311	Гленн Клоуз	P166	полученные награды	премия «Тони» за лучшую женскую роль в пьесе	0	0	0	0	1992-01-01
[1955, 1956]	гленн мартин	Q16732057	Гленн Мартин	P569	дата рождения	0	0	1955-12-30	0	0	0
