Year or Period	Bigram	#Q	Subject	#P	Predicate	Object	Organization	Just Date	Start Time	End Time	Time Point
1994	г шенгель	Q4522849	Шенгели, Георгий Аркадьевич	P569	дата рождения	0	0.0	1894-05-02	0	0	0
[1989, 1993]	г саймон	Q181529	Саймон, Герберт	P166	полученные награды	стипендия Уильяма Джемса	0.0	0	0	0	1989-01-01
1981	г саймон	Q181529	Саймон, Герберт	P166	полученные награды	премия Уильяма Проктера за научные достижения	0.0	0	0	0	1980-01-01
[1973, 1976]	г саймон	Q181529	Саймон, Герберт	P166	полученные награды	премия Тьюринга	0.0	0	0	0	1975-01-01
1997	г саймон	Q181529	Саймон, Герберт	P166	полученные награды	IJCAI Award for Research Excellence	0.0	0	0	0	1995-01-01
[1996, 1998]	г свиридов	Q467738	Георгий Васильевич Свиридов	P166	полученные награды	Почётный гражданин Москвы	0.0	0	0	0	1997-01-01
2000	г свиридов	Q467738	Георгий Васильевич Свиридов	P570	дата смерти	0	0.0	1998-01-06	0	0	0
2000	г свиридов	Q467738	Георгий Васильевич Свиридов	P570	дата смерти	0	0.0	1998-01-05	0	0	0
1997	г сатаров	Q4408984	Сатаров, Георгий Александрович	P569	дата рождения	0	0.0	1947-08-22	0	0	0
